"average_salary","programming_languages","experience","age"
"2500 - 2999",5,"9+","31-40"
"2000 - 2499",2,"3 - 4","19-25"
"5000+",15,"9 - 10","31-40"
"1500 - 1999",6,"5 - 6","31-40"
"<1000",4,"9+","31-40"
"1000 - 1499",3,"1 - 2","19-25"
"1000 - 1499",2,"4 - 5","19-25"
"2000 - 2499",4,"9 - 10","31-40"
"<1000",3,"5 - 6","26-30"
"<1000",6,"7 - 8","26-30"
"2000 - 2499",3,"9+","31-40"
"1500 - 1999",5,"3 - 4","19-25"
"4000 - 4499",11,"9+","26-30"
"3500 - 3999",5,"9+","31-40"
"1500 - 1999",4,"7 - 8","26-30"
"2000 - 2499",8,"9+","41-50"
"2000 - 2499",6,"4 - 5","19-25"
"2000 - 2499",4,"7 - 8","31-40"
"1000 - 1499",5,"7 - 8","26-30"
"1500 - 1999",11,"5 - 6","19-25"
"1000 - 1499",4,"4 - 5","26-30"
"1500 - 1999",2,"5 - 6","26-30"
"1500 - 1999",4,"4 - 5","26-30"
"2000 - 2499",3,"9+","26-30"
"<1000",4,"9+","26-30"
"2000 - 2499",2,"9+","26-30"
"1000 - 1499",5,"6 - 7","26-30"
"1000 - 1499",2,"1","26-30"
"3000 - 3499",3,"9+","31-40"
"1000 - 1499",7,"2 - 3","19-25"
"1500 - 1999",5,"9+","31-40"
"3500 - 3999",5,"9+","31-40"
"3000 - 3499",8,"9+","31-40"
"3000 - 3499",2,"5 - 6","26-30"
"1500 - 1999",4,"4 - 5","26-30"
"1000 - 1499",5,"9+","41-50"
"1000 - 1499",2,"3 - 4","26-30"
"1500 - 1999",4,"4 - 5","19-25"
"1000 - 1499",4,"9+","26-30"
"3000 - 3499",7,"9+","31-40"
"2500 - 2999",5,"3 - 4","19-25"
"1500 - 1999",3,"9 - 10","26-30"
"2000 - 2499",3,"9+","31-40"
"1500 - 1999",3,"6 - 7","26-30"
"2500 - 2999",3,"9+","26-30"
"1500 - 1999",9,"5 - 6","26-30"
"3000 - 3499",4,"9+","31-40"
"2000 - 2499",5,"9+","19-25"
"1000 - 1499",3,"9+","26-30"
"2500 - 2999",5,"9+","31-40"
"4000 - 4499",9,"9+","31-40"
"1000 - 1499",2,"2 - 3","26-30"
"3000 - 3499",9,"9+","26-30"
"1500 - 1999",3,"2 - 3","26-30"
"1000 - 1499",4,"2 - 3","19-25"
"1500 - 1999",5,"4 - 5","19-25"
"2000 - 2499",3,"3 - 4","19-25"
"<1000",11,"9+","31-40"
"2000 - 2499",5,"9+","26-30"
"1000 - 1499",1,"2 - 3","26-30"
"<1000",2,"3 - 4","26-30"
